Metric,Value
Max |q1dot| (rad/s),0.4138736174794554
Max |q2dot| (rad/s),0.6506478265490975
Path length (m),0.9369977519867506
x_start (m),0.6816097548660884
y_start (m),0.08036662909971314
x_end (m),0.13673862487200586
y_end (m),0.729117801751713
