t;q1;q2;q1dot;q2dot;x;y
0.174254254;0.497538046;-0.834323508;0.099263316;0.156051166;0.682428132;0.090739667
0.176976977;0.497810278;-0.833895534;0.100706482;0.158319958;0.682450293;0.09105957
0.1796997;0.498086435;-0.83346139;0.102146331;0.160583535;0.682472588;0.091384125
0.182422422;0.498366508;-0.83302109;0.103582862;0.162841895;0.682495009;0.091713323
0.185145145;0.498650487;-0.832574648;0.105016076;0.16509504;0.682517547;0.092047155
0.187867868;0.498938364;-0.832122079;0.106445972;0.16734297;0.682540193;0.092385611
0.190590591;0.49923013;-0.831663396;0.10787255;0.169585684;0.682562939;0.092728683
0.193313313;0.499525775;-0.831198614;0.109295811;0.171823182;0.682585775;0.093076361
0.196036036;0.499825291;-0.830727747;0.110715754;0.174055465;0.682608691;0.093428638
0.198758759;0.500128668;-0.830250809;0.11213238;0.176282532;0.68263168;0.093785502
0.201481481;0.500435899;-0.829767815;0.113545688;0.178504384;0.682654731;0.094146947
0.204204204;0.500746972;-0.829278778;0.114955678;0.18072102;0.682677835;0.094512962
0.206926927;0.501061881;-0.828783713;0.116362351;0.18293244;0.682700983;0.094883539
0.20964965;0.501380614;-0.828282634;0.117765706;0.185138644;0.682724164;0.095258669
0.212372372;0.501703164;-0.827775556;0.119165743;0.187339634;0.68274737;0.095638342
0.215095095;0.502029522;-0.827262491;0.120562463;0.189535407;0.682770591;0.096022551
0.217817818;0.502359678;-0.826743456;0.121955865;0.191725965;0.682793816;0.096411285
0.220540541;0.502693623;-0.826218463;0.12334595;0.193911307;0.682817036;0.096804536
0.223263263;0.503031348;-0.825687527;0.124732717;0.196091434;0.682840242;0.097202295
0.225985986;0.503372845;-0.825150662;0.126116166;0.198266345;0.682863422;0.097604552
0.228708709;0.503718104;-0.824607883;0.127496298;0.20043604;0.682886566;0.0980113
0.231431431;0.504067116;-0.824059203;0.128873112;0.20260052;0.682909666;0.098422529
0.234154154;0.504419872;-0.823504638;0.130246608;0.204759784;0.682932709;0.09883823
0.236876877;0.504776364;-0.8229442;0.131616787;0.206913832;0.682955687;0.099258393
0.2395996;0.505136581;-0.822377904;0.132983648;0.209062665;0.682978587;0.099683011
0.242322322;0.505500516;-0.821805765;0.134347192;0.211206282;0.683001401;0.100112074
0.245045045;0.505868159;-0.821227797;0.135707417;0.213344684;0.683024117;0.100545573
0.247767768;0.5062395;-0.820644013;0.137064326;0.21547787;0.683046725;0.1009835
0.25049049;0.506614532;-0.820054429;0.138417916;0.217605841;0.683069213;0.101425844
0.253213213;0.506993245;-0.819459057;0.139768189;0.219728595;0.683091572;0.101872598
0.255935936;0.507375629;-0.818857913;0.141115145;0.221846135;0.68311379;0.102323752
0.258658659;0.507761676;-0.818251011;0.142458783;0.223958458;0.683135856;0.102779297
0.261381381;0.508151377;-0.817638364;0.143799103;0.226065566;0.683157759;0.103239224
0.264104104;0.508544723;-0.817019988;0.145136105;0.228167459;0.683179489;0.103703524
0.266826827;0.508941705;-0.816395896;0.14646979;0.230264135;0.683201033;0.104172189
0.26954955;0.509342314;-0.815766102;0.147800158;0.232355597;0.683222382;0.104645208
0.272272272;0.50974654;-0.815130621;0.149127207;0.234441842;0.683243523;0.105122574
0.274994995;0.510154375;-0.814489466;0.150450939;0.236522872;0.683264445;0.105604277
0.277717718;0.510565809;-0.813842653;0.151771354;0.238598686;0.683285136;0.106090308
0.28044044;0.510980834;-0.813190195;0.153088451;0.240669285;0.683305586;0.106580657
0.283163163;0.511399441;-0.812532106;0.15440223;0.242734668;0.683325783;0.107075317
0.285885886;0.51182162;-0.811868401;0.155712691;0.244794836;0.683345715;0.107574277
0.288608609;0.512247363;-0.811199094;0.157019835;0.246849787;0.68336537;0.108077529
0.291331331;0.51267666;-0.810524199;0.158323662;0.248899524;0.683384737;0.108585063
0.294054054;0.513109503;-0.80984373;0.15962417;0.250944044;0.683403803;0.109096871
0.296776777;0.513545882;-0.809157702;0.160921361;0.252983349;0.683422558;0.109612943
0.299499499;0.513985788;-0.808466128;0.162215235;0.255017439;0.683440989;0.11013327
0.302222222;0.514429213;-0.807769023;0.16350579;0.257046312;0.683459084;0.110657843
0.304944945;0.514876147;-0.807066401;0.164793029;0.259069971;0.683476831;0.111186653
0.307667668;0.515326582;-0.806358276;0.166076949;0.261088413;0.683494218;0.11171969
0.31039039;0.515780507;-0.805644663;0.167357552;0.26310164;0.683511233;0.112256946
0.313113113;0.516237915;-0.804925575;0.168634837;0.265109651;0.683527864;0.112798411
